Metric,Value
Interview Duration,128.09 seconds
Maximum Simultaneous Faces,1
Off-Screen Duration,0.00 seconds
Average Head Rotation,-71.53 degrees

Violations,
Multiple Faces Detected,0
Face Off-Screen Instances,0
Excessive Head Rotation Instances,1

MediaPipe Emotion Percentages,
browDownLeft,1.59%
browDownRight,1.50%
browInnerUp,12.93%
browOuterUpLeft,15.63%
browOuterUpRight,9.92%
eyeSquintLeft,49.63%
eyeSquintRight,12.79%
jawForward,0.00%
jawOpen,0.46%
mouthFrownLeft,0.66%
mouthFrownRight,0.48%
mouthPucker,69.22%
mouthSmileLeft,0.00%
mouthSmileRight,0.00%

DeepFace Analysis,
Emotion,Percentage
angry,0.00%
disgust,0.00%
fear,0.00%
happy,0.00%
sad,0.00%
surprise,0.00%
neutral,0.00%
Gender,Percentage
Man,0.00%
Woman,0.00%
Race,Percentage
asian,0.00%
indian,0.00%
black,0.00%
white,0.00%
middle eastern,0.00%
latino hispanic,0.00%
Average Age,N/A
Average Face Confidence,N/A
Face Detection Rate,0.00%
Analyzed Frames,0
Valid Face Detections,0
